t=2026-06-17T23:50:47+0300 lvl=info msg="command usage" msg="Flag --request-header-add has been deprecated, use traffic policy instead"
t=2026-06-17T23:50:47+0300 lvl=info msg="no configuration paths supplied"
t=2026-06-17T23:50:47+0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\Константин\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-06-17T23:50:47+0300 lvl=info msg="open config file" path=C:\\Users\\Константин\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-06-17T23:50:47+0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-17T23:50:47+0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-18T00:26:27+0300 lvl=info msg="join connections" obj=join id=9d63416ec741 l=127.0.0.1:3000 r=79.133.42.80:44838
t=2026-06-18T00:26:27+0300 lvl=info msg="join connections" obj=join id=b96f63fe4c67 l=127.0.0.1:3000 r=79.133.42.80:44838
t=2026-06-18T00:26:27+0300 lvl=info msg="join connections" obj=join id=ebd65d9f8d5c l=127.0.0.1:3000 r=79.133.42.80:41966
t=2026-06-18T00:26:41+0300 lvl=info msg="join connections" obj=join id=ee0377bbb2a1 l=127.0.0.1:3000 r=79.133.42.80:44838
t=2026-06-18T00:26:42+0300 lvl=info msg="join connections" obj=join id=7095fefcfb11 l=127.0.0.1:3000 r=79.133.42.80:46896
t=2026-06-18T00:26:42+0300 lvl=info msg="join connections" obj=join id=ec4c14206466 l=127.0.0.1:3000 r=79.133.42.80:44838
t=2026-06-18T00:27:23+0300 lvl=info msg="join connections" obj=join id=aaebc1cad17e l=127.0.0.1:3000 r=79.133.42.80:44838
t=2026-06-18T00:27:26+0300 lvl=info msg="join connections" obj=join id=a93003f7b32f l=127.0.0.1:3000 r=79.133.42.80:44838
t=2026-06-18T00:28:04+0300 lvl=info msg="join connections" obj=join id=0a7a20136ca6 l=127.0.0.1:3000 r=79.133.42.80:44838
t=2026-06-18T00:28:06+0300 lvl=info msg="join connections" obj=join id=b8d6fed2e747 l=127.0.0.1:3000 r=79.133.42.80:44838
t=2026-06-18T00:28:06+0300 lvl=info msg="join connections" obj=join id=bb264d56f9e0 l=127.0.0.1:3000 r=79.133.42.80:44838
t=2026-06-18T00:28:06+0300 lvl=info msg="join connections" obj=join id=7a5e8fe4cf54 l=127.0.0.1:3000 r=79.133.42.80:44838
t=2026-06-18T00:28:16+0300 lvl=info msg="join connections" obj=join id=4b0d9d1aecee l=127.0.0.1:3000 r=79.133.42.80:44838
t=2026-06-18T00:28:32+0300 lvl=info msg="join connections" obj=join id=51ecd4eb42c7 l=127.0.0.1:3000 r=79.133.42.80:44838
t=2026-06-18T00:29:18+0300 lvl=info msg="join connections" obj=join id=bc80a4b0b868 l=127.0.0.1:3000 r=79.133.42.80:44838
t=2026-06-18T00:29:23+0300 lvl=info msg="join connections" obj=join id=7e2cd76a8226 l=127.0.0.1:3000 r=79.133.42.80:44838
t=2026-06-18T00:30:09+0300 lvl=info msg="join connections" obj=join id=04c32d9370ec l=127.0.0.1:3000 r=79.133.42.80:36768
t=2026-06-18T00:30:10+0300 lvl=info msg="join connections" obj=join id=2b4d225e1c25 l=127.0.0.1:3000 r=79.133.42.80:36768
t=2026-06-18T00:30:10+0300 lvl=info msg="join connections" obj=join id=e1868b1b9a3e l=127.0.0.1:3000 r=79.133.42.80:36768
t=2026-06-18T00:30:10+0300 lvl=info msg="join connections" obj=join id=7ab583c674a0 l=127.0.0.1:3000 r=79.133.42.80:36768
t=2026-06-18T00:30:10+0300 lvl=info msg="join connections" obj=join id=42fe30782e30 l=127.0.0.1:3000 r=79.133.42.80:36768
t=2026-06-18T00:30:10+0300 lvl=info msg="join connections" obj=join id=4b967e8ae83a l=127.0.0.1:3000 r=79.133.42.80:36768
t=2026-06-18T00:30:10+0300 lvl=info msg="join connections" obj=join id=e0dc78cbccde l=127.0.0.1:3000 r=79.133.42.80:36768
t=2026-06-18T00:30:11+0300 lvl=info msg="join connections" obj=join id=357796cda358 l=127.0.0.1:3000 r=79.133.42.80:35916
t=2026-06-18T00:30:11+0300 lvl=info msg="join connections" obj=join id=bef947a43300 l=127.0.0.1:3000 r=79.133.42.80:35928
t=2026-06-18T00:30:11+0300 lvl=info msg="join connections" obj=join id=d24ae530cfc8 l=127.0.0.1:3000 r=79.133.42.80:35928
t=2026-06-18T00:30:11+0300 lvl=info msg="join connections" obj=join id=675ad311f8f7 l=127.0.0.1:3000 r=79.133.42.80:36768
t=2026-06-18T00:30:11+0300 lvl=info msg="join connections" obj=join id=347d8bce974f l=127.0.0.1:3000 r=79.133.42.80:36768
t=2026-06-18T00:30:11+0300 lvl=info msg="join connections" obj=join id=4c0b6e617361 l=127.0.0.1:3000 r=79.133.42.80:36768
t=2026-06-18T00:30:11+0300 lvl=info msg="join connections" obj=join id=c0570308d507 l=127.0.0.1:3000 r=79.133.42.80:36768
t=2026-06-18T00:30:12+0300 lvl=info msg="join connections" obj=join id=5c70e6d0e4a8 l=127.0.0.1:3000 r=79.133.42.80:57434
t=2026-06-18T00:38:54+0300 lvl=info msg="join connections" obj=join id=8b6eed9f4500 l=127.0.0.1:3000 r=79.133.42.80:33404
t=2026-06-18T00:38:55+0300 lvl=info msg="join connections" obj=join id=49f62fb25afa l=127.0.0.1:3000 r=79.133.42.80:33404
t=2026-06-18T00:38:55+0300 lvl=info msg="join connections" obj=join id=c727124b11ef l=127.0.0.1:3000 r=79.133.42.80:33404
t=2026-06-18T00:38:55+0300 lvl=info msg="join connections" obj=join id=1d88b1cb8422 l=127.0.0.1:3000 r=79.133.42.80:33404
t=2026-06-18T00:38:55+0300 lvl=info msg="join connections" obj=join id=86ca2b8c276d l=127.0.0.1:3000 r=79.133.42.80:33404
t=2026-06-18T00:38:55+0300 lvl=info msg="join connections" obj=join id=2bcdd13031c5 l=127.0.0.1:3000 r=79.133.42.80:33404
t=2026-06-18T00:38:55+0300 lvl=info msg="join connections" obj=join id=9a34645500aa l=127.0.0.1:3000 r=79.133.42.80:33404
t=2026-06-18T00:38:55+0300 lvl=info msg="join connections" obj=join id=a1f1a263529c l=127.0.0.1:3000 r=79.133.42.80:33404
t=2026-06-18T00:38:55+0300 lvl=info msg="join connections" obj=join id=33af4931e835 l=127.0.0.1:3000 r=79.133.42.80:33404
t=2026-06-18T00:38:55+0300 lvl=info msg="join connections" obj=join id=abfbb9cb51b3 l=127.0.0.1:3000 r=79.133.42.80:33404
t=2026-06-18T00:38:55+0300 lvl=info msg="join connections" obj=join id=d3b67635c292 l=127.0.0.1:3000 r=79.133.42.80:38888
t=2026-06-18T00:38:56+0300 lvl=info msg="join connections" obj=join id=cae26bdcbb0c l=127.0.0.1:3000 r=79.133.42.80:33414
t=2026-06-18T00:38:56+0300 lvl=info msg="join connections" obj=join id=884eb02e3486 l=127.0.0.1:3000 r=79.133.42.80:33414
t=2026-06-18T00:38:56+0300 lvl=info msg="join connections" obj=join id=7853a270884e l=127.0.0.1:3000 r=79.133.42.80:33420
t=2026-06-18T00:38:56+0300 lvl=info msg="join connections" obj=join id=1b6d926865a9 l=127.0.0.1:3000 r=79.133.42.80:33420
t=2026-06-18T00:38:56+0300 lvl=info msg="join connections" obj=join id=14d272357a50 l=127.0.0.1:3000 r=79.133.42.80:33420
t=2026-06-18T00:38:56+0300 lvl=info msg="join connections" obj=join id=99f22c07b6c5 l=127.0.0.1:3000 r=79.133.42.80:33420
t=2026-06-18T00:38:56+0300 lvl=info msg="join connections" obj=join id=ef7dde8cfc9c l=127.0.0.1:3000 r=79.133.42.80:33420
t=2026-06-18T00:38:56+0300 lvl=info msg="join connections" obj=join id=26a3bcfe656e l=127.0.0.1:3000 r=79.133.42.80:33420
t=2026-06-18T00:38:57+0300 lvl=info msg="join connections" obj=join id=627d68bdc27e l=127.0.0.1:3000 r=79.133.42.80:33420
t=2026-06-18T00:38:57+0300 lvl=info msg="join connections" obj=join id=06c5486ad6c4 l=127.0.0.1:3000 r=79.133.42.80:33420
t=2026-06-18T00:38:57+0300 lvl=info msg="join connections" obj=join id=65824afe3292 l=127.0.0.1:3000 r=79.133.42.80:33420
t=2026-06-18T00:38:57+0300 lvl=info msg="join connections" obj=join id=1536cf59babc l=127.0.0.1:3000 r=79.133.42.80:40528
t=2026-06-18T00:39:32+0300 lvl=info msg="join connections" obj=join id=97756fe23f2e l=127.0.0.1:3000 r=79.133.42.80:54080
t=2026-06-18T00:39:32+0300 lvl=info msg="join connections" obj=join id=683104ca3202 l=127.0.0.1:3000 r=79.133.42.80:54080
t=2026-06-18T00:39:32+0300 lvl=info msg="join connections" obj=join id=dc2a98e29eb4 l=127.0.0.1:3000 r=79.133.42.80:54080
